stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.10145] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10148] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10153] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10156] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10160] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10163] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10167] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10170] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10173] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10176] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10180] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10183] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10187] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10190] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10194] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10197] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10201] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10204] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10208] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10211] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10214] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10218] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10221] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10225] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10229] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10232] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10235] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10239] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10242] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10245] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10250] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10253] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
